"","Gender","DriverAge","CarAge","Area","Leasing","Power","Fract","Contract","Exposure"
"1",1,18,3,1,2,2,3,2,3.78
"2",2,18,4,3,2,1,2,2,2.21
"3",1,78,3,1,2,1,3,2,2.86
"4",2,18,5,3,2,2,2,3,0.52
"5",2,50,5,1,2,2,3,2,2.43
"6",2,52,6,4,2,3,3,2,1.53
"7",1,58,2,2,2,2,3,1,0.08
"8",2,56,5,3,2,3,2,2,0.97
"9",2,48,3,4,2,3,3,2,3.9
"10",2,40,6,3,2,3,1,2,3.49
"11",1,30,4,2,2,2,1,2,1.58
"12",2,31,7,1,2,2,2,1,2.7
"13",1,52,1,4,2,3,2,2,3.6
"14",2,41,0,1,2,2,2,2,1.1
"15",1,48,5,1,2,2,1,2,5.64
"16",1,23,2,3,2,2,3,2,1.97
"17",1,68,10,1,1,3,3,2,0.08
"18",2,68,5,3,2,2,3,3,3.15
"19",2,45,3,2,2,2,2,2,2.2
"20",1,36,3,1,2,3,3,2,2.69
"21",1,66,10,3,2,1,3,2,0.08
"22",2,43,1,1,1,3,2,1,3.02
"23",2,51,5,3,1,3,2,1,2.68
"24",1,35,2,4,1,2,3,1,2.13
"25",1,38,8,4,2,4,1,2,4.32
"26",1,77,3,3,1,3,1,3,4.19
"27",2,38,4,2,1,2,3,2,2.74
"28",1,41,5,3,2,2,3,3,4.6
"29",1,52,3,4,2,2,3,1,2.56
"30",1,45,5,3,2,2,3,1,1.43
"31",1,25,1,3,1,2,3,2,2.12
"32",1,70,4,4,2,4,2,1,2.05
"33",1,45,5,3,2,2,3,2,1.95
"34",1,18,6,1,2,3,2,2,1.53
"35",1,37,7,2,2,4,2,1,1.55
"36",2,51,4,1,2,2,1,3,3.09
"37",1,53,8,1,2,2,3,2,3.97
"38",2,33,3,2,1,2,3,1,2.3
"39",1,18,6,3,1,2,3,2,1.49
"40",2,61,8,2,2,3,2,1,0.77
"41",2,43,5,3,2,3,2,3,2.99
"42",2,38,2,4,1,3,2,2,1.3
"43",1,50,3,2,1,2,2,2,4.38
"44",1,36,6,4,2,1,3,1,3.78
"45",1,59,9,2,1,3,3,2,0.8
"46",2,36,5,1,1,2,3,1,2
"47",1,41,7,2,2,1,3,2,0.96
"48",1,30,5,3,2,1,2,3,1.55
"49",1,56,4,2,2,3,3,2,1.78
"50",1,47,8,1,2,3,3,2,4.48
"51",1,46,5,2,2,2,3,1,0.08
"52",1,30,7,3,1,3,3,1,1.96
"53",2,54,9,1,2,2,2,1,3.62
"54",1,62,6,4,1,3,2,1,2.48
"55",2,27,7,2,2,2,1,2,1.88
"56",1,35,8,3,2,3,3,1,4.71
"57",2,27,7,1,1,1,3,1,5.05
