"","Gender","DriverAge","CarAge","Area","Leasing","Power","Fract","Contract","Exposure","ClaimFreq"
"1","1",18,3,"1","2","2","3","2",3.78,0.0333286169242787
"2","2",18,4,"3","2","1","2","2",2.21,0.002849456249818
"3","1",78,3,"1","2","1","3","2",2.86,0.0103892522576489
"4","2",18,5,"3","2","2","2","3",0.52,940.921712484299
"5","2",50,5,"1","2","2","3","2",2.43,0.00464800801415553
"6","2",52,6,"4","2","3","3","2",1.53,1.36406610280515e-05
"7","1",58,2,"2","2","2","3","1",0.08,6.35574455963448
"8","2",56,5,"3","2","3","2","2",0.97,1.51751146036564e+68
"9","2",48,3,"4","2","3","3","2",3.9,0.0303892102799043
"10","2",40,6,"3","2","3","1","2",3.49,0.0225424367182411
"11","1",30,4,"2","2","2","1","2",1.58,4.36364672033131e-05
"12","2",31,7,"1","2","2","2","1",2.7,0.00839811723931706
"13","1",52,1,"4","2","3","2","2",3.6,0.0249861054607772
"14","2",41,0,"1","2","2","2","2",1.1,3.16982617534123e-22
"15","1",48,5,"1","2","2","1","2",5.64,0.0656080568987044
"16","1",23,2,"3","2","2","3","2",1.97,0.000950321881609778
"17","1",68,10,"1","1","3","3","2",0.08,6.59481209755828
"18","2",68,5,"3","2","2","3","3",3.15,0.0162016196954977
"19","2",45,3,"2","2","2","2","2",2.2,0.00276661718612578
"20","1",36,3,"1","2","3","3","2",2.69,0.00858098965533302
"21","1",66,10,"3","2","1","3","2",0.08,6.94471162447363
"22","2",43,1,"1","1","3","2","1",3.02,0.013870563849496
"23","2",51,5,"3","1","3","2","1",2.68,0.00790918817098508
"24","1",35,2,"4","1","2","3","1",2.13,0.00194317035510382
"25","1",38,8,"4","2","4","1","2",4.32,0.0404545980243426
"26","1",77,3,"3","1","3","1","3",4.19,0.0396912102124358
"27","2",38,4,"2","1","2","3","2",2.74,0.0101266097229161
"28","1",41,5,"3","2","2","3","3",4.6,0.0473739405606594
"29","1",52,3,"4","2","2","3","1",2.56,0.00637292788369901
"30","1",45,5,"3","2","2","3","1",1.43,1.61038302836071e-06
"31","1",25,1,"3","1","2","3","2",2.12,0.00183660679444563
"32","1",70,4,"4","2","4","2","1",2.05,0.00134196174639706
"33","1",45,5,"3","2","2","3","2",1.95,0.000803099941103339
"34","1",18,6,"1","2","3","2","2",1.53,2.55731941994413e-05
"35","1",37,7,"2","2","4","2","1",1.55,2.67944746144025e-05
"36","2",51,4,"1","2","2","1","3",3.09,0.016084766074518
"37","1",53,8,"1","2","2","3","2",3.97,0.0318649438364199
"38","2",33,3,"2","1","2","3","1",2.3,0.00377159880838294
"39","1",18,6,"3","1","2","3","2",1.49,1.14036974707582e-05
"40","2",61,8,"2","2","3","2","1",0.77,58865166.4104711
"41","2",43,5,"3","2","3","2","3",2.99,0.0141989434888962
"42","2",38,2,"4","1","3","2","2",1.3,1.59397520369238e-08
"43","1",50,3,"2","1","2","2","2",4.38,0.0441860436537567
"44","1",36,6,"4","2","1","3","1",3.78,0.0269182359237026
"45","1",59,9,"2","1","3","3","2",0.8,1071960753.12297
"46","2",36,5,"1","1","2","3","1",2,0.00106305466039769
"47","1",41,7,"2","2","1","3","2",0.96,1.01436665983909e+50
"48","1",30,5,"3","2","1","2","3",1.55,2.07634252713835e-05
"49","1",56,4,"2","2","3","3","2",1.78,0.000320560544811337
"50","1",47,8,"1","2","3","3","2",4.48,0.0425940349016792
"51","1",46,5,"2","2","2","3","1",0.08,6.2903885236052
"52","1",30,7,"3","1","3","3","1",1.96,0.000870690801494756
"53","2",54,9,"1","2","2","2","1",3.62,0.0243431392855016
"54","1",62,6,"4","1","3","2","1",2.48,0.0055146481010471
"55","2",27,7,"2","2","2","1","2",1.88,0.000663653665261967
"56","1",35,8,"3","2","3","3","1",4.71,0.046537350899652
"57","2",27,7,"1","1","1","3","1",5.05,0.0507575599932415
"58","2",54,7,"3","2","3","1","2",2.24,0.0026691309448984
"59","1",70,4,"2","2","3","3","2",2.09,0.00183123143330516
"60","2",76,2,"1","1","2","2","1",4.58,0.0441750308851028
"61","2",65,5,"2","2","1","1","2",2.04,0.00128589428548813
"62","2",36,6,"2","2","2","1","1",4.09,0.037246962825335
"63","2",73,5,"1","2","2","3","2",2.28,0.00304845837924737
"64","1",18,6,"2","2","3","3","3",0.92,3.47216040728376e+22
