;Gender;DriverAge;CarAge;Area;Leasing;Power;Fract;Contract;Exposure;Nbclaims
1;1;53;1;2;2;2;3;1;3.4;0
2;2;60;4;3;1;2;3;1;2.97;0
3;1;48;0;4;1;2;3;1;2.33;0
4;1;54;6;2;2;1;1;1;6.75;0
5;1;42;5;4;2;1;2;3;1.07;0
6;2;40;2;4;1;3;2;2;2.59;0
7;1;48;5;4;2;3;3;2;1.89;0
8;1;42;3;1;1;3;1;1;3.15;0
9;2;76;2;3;1;2;1;1;3.65;0
10;1;43;7;3;2;2;1;2;1.51;0
11;1;29;6;2;1;3;3;2;1.67;0
12;2;31;8;1;1;1;3;1;1.45;0
13;1;57;7;4;2;2;3;2;6.98;0
14;2;71;2;1;2;2;3;1;3.25;0
15;1;34;5;2;2;2;3;1;5.14;0
16;1;58;5;3;2;2;3;2;2.05;0
17;2;43;7;3;2;4;1;2;1.09;0
18;1;28;3;3;2;2;3;2;1.44;0
19;2;20;1;3;2;3;3;2;1.73;0
20;2;37;9;3;2;2;3;3;1.13;0
21;2;54;5;3;2;1;2;2;4.57;0
22;1;47;3;2;2;2;3;3;2.99;0
23;2;23;9;1;2;2;3;2;3.12;0
24;1;35;4;1;2;1;3;3;1.12;0
25;2;35;4;4;1;3;3;3;2.3;0
26;2;26;9;2;2;2;3;1;6.01;0
27;2;32;5;2;2;3;3;1;2.77;0
28;2;41;6;2;1;2;3;1;3.36;0
29;2;54;7;3;1;3;1;1;4.86;0
30;1;27;3;4;2;1;3;2;4.76;0
31;2;42;7;4;1;2;2;1;3.98;0
32;1;47;6;3;2;2;2;3;2.57;1
33;2;74;1;1;1;3;3;3;2.86;0
34;1;41;3;2;1;1;1;2;3.41;0
35;1;39;6;4;2;4;2;2;1.43;0
36;1;49;4;3;2;3;1;1;0.08;0
37;1;51;6;3;2;2;2;1;3.79;1
38;1;30;5;4;1;2;1;1;4.18;0
39;1;35;0;2;1;1;1;3;4.51;0
40;1;29;6;1;1;4;3;3;0.61;0
41;1;39;6;4;1;2;3;1;4;0
42;1;46;1;1;2;2;3;2;2.84;0
43;1;32;2;3;2;3;3;1;4.03;0
44;2;34;5;1;2;2;1;2;4.24;0
45;1;32;5;3;2;2;3;2;2.94;0
46;2;30;2;2;1;2;3;2;5.4;0
47;1;82;5;1;2;2;3;3;3.57;0
48;2;29;1;3;1;3;3;1;3.59;0
49;1;46;6;2;2;3;3;2;2.64;0
50;1;18;5;1;1;2;3;1;3.22;0
51;2;42;9;1;1;1;2;1;3.92;0
52;1;49;3;3;2;2;2;2;3.4;0
53;1;50;5;2;2;4;2;1;2.21;0
54;1;46;6;2;2;1;2;2;6.75;0
55;1;40;7;2;2;2;3;3;1.24;0
56;1;62;7;2;1;2;2;2;3.97;0
57;2;61;3;3;1;4;3;1;5.28;0
58;1;45;5;1;2;2;1;1;2.68;0
59;2;56;3;2;2;3;1;1;5.33;0
60;1;18;4;1;1;1;1;1;2.96;0
61;2;66;6;3;1;2;3;2;5.23;0
62;1;18;6;1;2;3;3;1;2.53;0
63;1;52;3;1;2;2;2;1;2.78;0
64;1;25;6;1;1;2;3;1;2.54;0
65;2;43;7;1;2;3;3;1;5.9;0
66;1;18;1;4;2;4;3;2;2.27;0
67;1;18;0;4;2;2;1;1;1.17;0
68;2;46;10;1;2;2;2;3;2.19;0
69;1;49;7;3;2;2;3;1;1.39;0
70;1;41;5;2;2;2;1;1;4.8;0
71;2;57;1;3;2;2;3;2;4.35;0
72;1;48;6;1;2;3;3;1;0.46;0
73;1;71;4;1;2;1;3;2;4.65;0
74;2;22;9;1;2;2;3;2;4.4;0
75;2;40;5;3;2;1;3;2;2.72;0
76;1;42;0;1;2;1;2;1;0.08;0
77;1;24;4;3;2;3;3;1;2.55;0
78;1;49;7;3;1;3;3;3;3.45;0
79;2;60;5;3;2;2;3;1;2.3;0
80;1;48;0;2;2;3;3;1;1.79;0
81;2;36;3;3;2;2;3;2;4.06;0
82;2;70;3;3;1;3;3;1;3.23;0
83;1;54;9;2;2;3;3;2;2.36;0
84;1;59;6;3;2;2;2;2;4.96;0
85;2;56;4;4;1;4;3;1;0.87;0
86;1;24;8;1;2;3;1;2;5.79;1
87;2;40;7;2;2;2;3;3;1.2;0
88;2;39;4;3;1;1;1;2;1.95;0
89;1;54;6;4;2;2;2;1;3.74;0
90;2;41;7;2;2;2;1;1;5.25;0
91;2;74;1;1;2;3;1;2;3.43;0
92;1;42;6;1;2;1;2;3;1.81;0
93;1;51;7;2;2;1;2;3;2.82;0
94;1;48;2;1;2;1;2;3;0.42;0
95;1;72;4;1;1;1;1;2;5.23;0
96;1;27;0;2;1;1;3;2;1.94;0
97;2;37;9;2;1;3;3;1;5.7;0
98;2;44;6;1;1;3;2;2;4.76;0
99;2;59;1;1;2;4;3;1;4.58;0
100;1;18;6;2;2;2;3;1;1.57;0
101;1;58;4;2;2;2;3;1;3.18;0
102;2;32;6;1;2;3;1;2;3.26;0
103;1;50;2;2;2;3;1;3;5.08;0
104;2;31;4;3;2;2;1;1;4.37;0
105;1;52;3;3;2;4;3;2;3.51;0
106;1;42;4;2;2;1;2;3;4.57;1
107;2;51;10;4;2;3;2;2;2.22;0
108;1;39;3;3;1;4;3;2;0.68;0
109;2;42;3;3;1;1;3;3;0.08;0
110;1;70;5;2;2;1;1;2;3.14;0
111;1;52;2;2;1;1;2;3;3.07;0
112;1;21;5;2;2;2;3;3;5.14;0
113;1;50;7;1;1;2;3;1;3.5;0
114;1;66;4;1;2;3;1;3;1.42;0
115;2;66;7;3;1;1;1;2;0.08;0
116;1;51;7;4;2;4;3;2;6.65;0
117;2;59;4;1;2;3;3;2;2.57;0
118;1;28;0;3;1;4;3;1;1.61;0
119;1;19;9;1;2;2;3;3;0.08;0
120;1;62;3;2;2;1;3;1;3.36;0
121;1;52;5;4;2;3;2;3;2.82;0
122;2;46;5;3;2;3;3;2;3.02;0
123;1;54;5;1;2;4;2;1;6.54;0
124;1;68;3;2;2;3;3;3;2.02;0
125;1;45;2;1;2;2;3;2;2.94;0
126;2;52;10;2;1;2;2;1;4.45;0
127;2;43;6;4;2;2;3;1;4.34;0
128;1;36;8;2;2;2;3;2;1.86;0
129;2;36;0;4;1;3;2;2;3.23;0
130;1;18;3;2;2;2;2;1;2.93;0
131;2;23;7;3;2;3;3;2;2.34;0
132;1;39;8;1;1;1;2;2;3.62;0
